problem   ,criterion ,notape,tape,ratio,routes,iterations,clients,maxroutes,current,total
 F-N135-K7 , RARB      ,3.521,12.754,3.62226640159046,5,101,135,0,10,30
 F-N135-K7 , RARB      ,3.558,12.711,3.57251264755481,5,101,135,0,11,30
 F-N135-K7 , RARB      ,3.555,12.653,3.5592123769339,5,101,135,0,12,30
 F-N135-K7 , RARB      ,3.539,12.698,3.58801921446736,5,101,135,0,13,30
 F-N135-K7 , RARB      ,3.513,12.668,3.60603472815258,5,101,135,0,14,30
 F-N135-K7 , RARB      ,3.546,12.578,3.54709531866892,5,101,135,0,15,30
 F-N135-K7 , RARB      ,3.53,12.778,3.61983002832861,5,101,135,0,16,30
 F-N135-K7 , RARB      ,3.548,12.664,3.56933483652762,5,101,135,0,17,30
 F-N135-K7 , RARB      ,3.534,12.67,3.58517260894171,5,101,135,0,18,30
 F-N135-K7 , RARB      ,3.562,12.676,3.55867490174059,5,101,135,0,19,30
 F-N135-K7 , RARB      ,3.601,12.718,3.53179672313246,5,101,135,0,20,30
 F-N135-K7 , RARB      ,3.537,12.639,3.57336726039016,5,101,135,0,21,30
 F-N135-K7 , RARB      ,3.527,12.583,3.56762120782535,5,101,135,0,22,30
 F-N135-K7 , RARB      ,3.547,12.628,3.56019171130533,5,101,135,0,23,30
 F-N135-K7 , RARB      ,3.564,12.78,3.58585858585859,5,101,135,0,24,30
 F-N135-K7 , RARB      ,3.53,12.776,3.61926345609065,5,101,135,0,25,30
 F-N135-K7 , RARB      ,3.57,12.682,3.55238095238095,5,101,135,0,26,30
 F-N135-K7 , RARB      ,3.535,12.571,3.55615275813296,5,101,135,0,27,30
 F-N135-K7 , RARB      ,3.545,12.772,3.60282087447109,5,101,135,0,28,30
 F-N135-K7 , RARB      ,3.597,12.789,3.55546288573812,5,101,135,0,29,30
 F-N135-K7 , RARB      ,3.558,12.726,3.57672849915683,5,101,135,0,30,30
 F-N135-K7 , RARAC     ,17.476,23.3,1.33325703822385,74,92,135,1,1,30
 F-N135-K7 , RARAC     ,16.545,22.254,1.34505893019039,70,89,135,1,2,30
 F-N135-K7 , RARAC     ,17.066,22.421,1.31378178835111,76,90,135,1,3,30
 F-N135-K7 , RARAC     ,16.198,22.422,1.38424496851463,64,90,135,1,4,30
 F-N135-K7 , RARAC     ,16.895,22.773,1.34791358390056,72,91,135,1,5,30
 F-N135-K7 , RARAC     ,16.346,22.357,1.3677352257433,67,90,135,1,6,30
 F-N135-K7 , RARAC     ,16.376,21.901,1.33738397655105,69,87,135,1,7,30
 F-N135-K7 , RARAC     ,16.894,23.667,1.40091156623653,64,95,135,1,8,30
 F-N135-K7 , RARAC     ,18.473,24.259,1.31321387971634,76,97,135,1,9,30
 F-N135-K7 , RARAC     ,17.759,23.117,1.30170617714961,77,92,135,1,10,30
 F-N135-K7 , RARAC     ,16.323,20.892,1.27991178092262,78,83,135,1,11,30
 F-N135-K7 , RARAC     ,17.385,24.753,1.42381363244176,63,100,135,1,12,30
 F-N135-K7 , RARAC     ,17.12,23.9,1.39602803738318,62,96,135,1,13,30
 F-N135-K7 , RARAC     ,17.804,25.198,1.41529993259942,59,101,135,1,14,30
 F-N135-K7 , RARAC     ,16.933,23.128,1.36585365853659,67,93,135,1,15,30
 F-N135-K7 , RARAC     ,17.849,24.319,1.36248529329374,70,98,135,1,16,30
 F-N135-K7 , RARAC     ,16.701,21.719,1.30046105023651,75,87,135,1,17,30
 F-N135-K7 , RARAC     ,16.724,22.549,1.34830184166467,72,91,135,1,18,30
 F-N135-K7 , RARAC     ,17.141,22.129,1.29099819147074,78,89,135,1,19,30
 F-N135-K7 , RARAC     ,17.058,24.813,1.45462539570876,57,101,135,1,20,30
 F-N135-K7 , RARAC     ,17.21,23.154,1.34538059267868,73,93,135,1,21,30
 F-N135-K7 , RARAC     ,17.316,23.968,1.38415338415338,65,96,135,1,22,30
 F-N135-K7 , RARAC     ,17.524,23.291,1.32909153161379,70,93,135,1,23,30
 F-N135-K7 , RARAC     ,17.432,23.263,1.33449977053694,71,94,135,1,24,30
 F-N135-K7 , RARAC     ,17.724,24.888,1.40419769803656,65,101,135,1,25,30
 F-N135-K7 , RARAC     ,16.356,22.336,1.36561506480802,69,90,135,1,26,30
 F-N135-K7 , RARAC     ,17.62,24.634,1.39807037457435,62,99,135,1,27,30
 F-N135-K7 , RARAC     ,15.996,20.821,1.30163790947737,76,83,135,1,28,30
 F-N135-K7 , RARAC     ,17.576,23.057,1.31184569868002,77,93,135,1,29,30
 F-N135-K7 , RARAC     ,14.609,19.359,1.3251420357314,76,78,135,1,30,30
 F-N135-K7 , RARAC     ,12.006,25.871,2.15483924704314,5,101,135,0,1,30
 F-N135-K7 , RARAC     ,12.097,26.003,2.14954120856411,5,101,135,0,2,30
 F-N135-K7 , RARAC     ,12.019,25.963,2.16016307513104,5,101,135,0,3,30
 F-N135-K7 , RARAC     ,12.042,26.065,2.16450755688424,5,101,135,0,4,30
 F-N135-K7 , RARAC     ,12.038,26.125,2.17021099850473,5,101,135,0,5,30
 F-N135-K7 , RARAC     ,12.008,26.009,2.16597268487675,5,101,135,0,6,30
 F-N135-K7 , RARAC     ,12.009,26.017,2.16645848946623,5,101,135,0,7,30
 F-N135-K7 , RARAC     ,12.043,26.072,2.16490907581167,5,101,135,0,8,30
 F-N135-K7 , RARAC     ,12.066,26.096,2.16277142383557,5,101,135,0,9,30
 F-N135-K7 , RARAC     ,12.126,26.032,2.14679201715322,5,101,135,0,10,30
 F-N135-K7 , RARAC     ,12.037,26.066,2.16548973996843,5,101,135,0,11,30
 F-N135-K7 , RARAC     ,11.95,26.089,2.18317991631799,5,101,135,0,12,30
 F-N135-K7 , RARAC     ,11.982,26.2,2.18661325321315,5,101,135,0,13,30
 F-N135-K7 , RARAC     ,12.018,26.12,2.17340655683142,5,101,135,0,14,30
 F-N135-K7 , RARAC     ,11.981,26.081,2.17686336699775,5,101,135,0,15,30
 F-N135-K7 , RARAC     ,12.024,26.095,2.17024284763806,5,101,135,0,16,30
 F-N135-K7 , RARAC     ,12.031,26.033,2.16382678081622,5,101,135,0,17,30
 F-N135-K7 , RARAC     ,12.021,26.105,2.17161633807504,5,101,135,0,18,30
 F-N135-K7 , RARAC     ,12.085,26.059,2.15630947455523,5,101,135,0,19,30
 F-N135-K7 , RARAC     ,12.058,26.039,2.15947918394427,5,101,135,0,20,30
 F-N135-K7 , RARAC     ,12.003,26.175,2.18070482379405,5,101,135,0,21,30
 F-N135-K7 , RARAC     ,12.048,26.024,2.16002656042497,5,101,135,0,22,30
 F-N135-K7 , RARAC     ,12.135,26.112,2.15179233621755,5,101,135,0,23,30
 F-N135-K7 , RARAC     ,12.082,26.083,2.15883131931799,5,101,135,0,24,30
 F-N135-K7 , RARAC     ,12.027,26.055,2.16637565477675,5,101,135,0,25,30
 F-N135-K7 , RARAC     ,12.012,26.056,2.16916416916417,5,101,135,0,26,30
 F-N135-K7 , RARAC     ,12.054,26.063,2.16218682594989,5,101,135,0,27,30
 F-N135-K7 , RARAC     ,12.031,26.071,2.16698528800598,5,101,135,0,28,30
 F-N135-K7 , RARAC     ,12.029,26.086,2.16859256796076,5,101,135,0,29,30
 F-N135-K7 , RARAC     ,12.026,26.088,2.1692998503243,5,101,135,0,30,30
 F-N135-K7 , REF       ,0.099,0.158,1.5959595959596,74,16,135,1,1,30
 F-N135-K7 , REF       ,0.083,0.13,1.56626506024096,70,15,135,1,2,30
 F-N135-K7 , REF       ,0.101,0.164,1.62376237623762,76,15,135,1,3,30
 F-N135-K7 , REF       ,0.205,0.298,1.45365853658537,64,25,135,1,4,30
 F-N135-K7 , REF       ,0.101,0.151,1.49504950495049,72,17,135,1,5,30
 F-N135-K7 , REF       ,0.079,0.122,1.54430379746835,67,14,135,1,6,30
 F-N135-K7 , REF       ,0.085,0.115,1.35294117647059,69,16,135,1,7,30
 F-N135-K7 , REF       ,0.114,0.195,1.71052631578947,64,18,135,1,8,30
 F-N135-K7 , REF       ,0.038,0.062,1.63157894736842,76,10,135,1,9,30
 F-N135-K7 , REF       ,0.081,0.128,1.58024691358025,77,14,135,1,10,30
 F-N135-K7 , REF       ,0.063,0.095,1.50793650793651,78,15,135,1,11,30
 F-N135-K7 , REF       ,0.111,0.186,1.67567567567568,63,19,135,1,12,30
 F-N135-K7 , REF       ,0.132,0.19,1.43939393939394,62,21,135,1,13,30
 F-N135-K7 , REF       ,0.213,0.347,1.62910798122066,59,22,135,1,14,30
 F-N135-K7 , REF       ,0.102,0.149,1.46078431372549,67,17,135,1,15,30
 F-N135-K7 , REF       ,0.114,0.19,1.66666666666667,70,19,135,1,16,30
 F-N135-K7 , REF       ,0.072,0.109,1.51388888888889,75,15,135,1,17,30
 F-N135-K7 , REF       ,0.096,0.14,1.45833333333333,72,18,135,1,18,30
 F-N135-K7 , REF       ,0.049,0.077,1.57142857142857,78,13,135,1,19,30
 F-N135-K7 , REF       ,0.21,0.329,1.56666666666667,57,25,135,1,20,30
 F-N135-K7 , REF       ,0.291,0.511,1.75601374570447,73,22,135,1,21,30
 F-N135-K7 , REF       ,0.169,0.289,1.71005917159763,65,24,135,1,22,30
 F-N135-K7 , REF       ,0.144,0.214,1.48611111111111,70,21,135,1,23,30
 F-N135-K7 , REF       ,0.088,0.138,1.56818181818182,71,17,135,1,24,30
 F-N135-K7 , REF       ,0.147,0.238,1.61904761904762,65,23,135,1,25,30
 F-N135-K7 , REF       ,0.137,0.226,1.64963503649635,69,20,135,1,26,30
 F-N135-K7 , REF       ,0.256,0.425,1.66015625,62,24,135,1,27,30
 F-N135-K7 , REF       ,0.091,0.121,1.32967032967033,76,16,135,1,28,30
 F-N135-K7 , REF       ,0.104,0.146,1.40384615384615,77,19,135,1,29,30
 F-N135-K7 , REF       ,0.036,0.058,1.61111111111111,76,9,135,1,30,30
 F-N135-K7 , REF       ,107.669,195.61,1.81677177274796,5,92,135,0,1,30
 F-N135-K7 , REF       ,115.79,208.874,1.80390361861992,5,96,135,0,2,30
 F-N135-K7 , REF       ,83.691,155.082,1.85303079184142,5,82,135,0,3,30
 F-N135-K7 , REF       ,106.379,192.912,1.81344062267929,5,92,135,0,4,30
 F-N135-K7 , REF       ,128.955,226.104,1.7533558217983,5,86,135,0,5,30
 F-N135-K7 , REF       ,91.83,166.945,1.81797887400632,5,83,135,0,6,30
 F-N135-K7 , REF       ,90.271,168.44,1.86593701188643,5,89,135,0,7,30
 F-N135-K7 , REF       ,106.629,190.798,1.78936311885134,5,82,135,0,8,30
 F-N135-K7 , REF       ,100.178,184.182,1.83854738565354,5,84,135,0,9,30
 F-N135-K7 , REF       ,99.69,181.906,1.82471662152673,5,83,135,0,10,30
 F-N135-K7 , REF       ,93.68,171.258,1.8281169940222,5,82,135,0,11,30
 F-N135-K7 , REF       ,93.903,173.712,1.84990894859589,5,85,135,0,12,30
 F-N135-K7 , REF       ,104.07,194.527,1.8691938118574,5,86,135,0,13,30
 F-N135-K7 , REF       ,112.197,199.949,1.78212429922369,5,84,135,0,14,30
 F-N135-K7 , REF       ,103.516,188.378,1.8197959735693,5,90,135,0,15,30
 F-N135-K7 , REF       ,112.163,198.405,1.7688988347316,5,83,135,0,16,30
 F-N135-K7 , REF       ,81.394,150.62,1.85050495122491,5,79,135,0,17,30
 F-N135-K7 , REF       ,103.388,186.264,1.80160173327659,5,85,135,0,18,30
 F-N135-K7 , REF       ,98.812,178.147,1.80288831316035,5,85,135,0,19,30
 F-N135-K7 , REF       ,92.842,168.117,1.81078606665087,5,82,135,0,20,30
 F-N135-K7 , REF       ,107.587,194.836,1.81096229098311,5,86,135,0,21,30
 F-N135-K7 , REF       ,85.821,166.546,1.9406205940271,5,84,135,0,22,30
 F-N135-K7 , REF       ,105.474,188.624,1.78834594307602,5,81,135,0,23,30
 F-N135-K7 , REF       ,109.777,195.979,1.78524645417528,5,92,135,0,24,30
 F-N135-K7 , REF       ,104.694,189.968,1.81450703956292,5,84,135,0,25,30
 F-N135-K7 , REF       ,98.371,182.373,1.85393052830611,5,89,135,0,26,30
 F-N135-K7 , REF       ,84.084,156.298,1.85883164454593,5,79,135,0,27,30
 F-N135-K7 , REF       ,104.256,184.829,1.77283801411909,5,88,135,0,28,30
 F-N135-K7 , REF       ,111.235,206.119,1.85300489953702,5,85,135,0,29,30
 F-N135-K7 , REF       ,163.952,218.784,1.33443934810188,5,90,135,0,30,30
 F-N135-K7 , RERF      ,601.919,1210.037,2.01029872790193,74,101,135,1,1,30
 F-N135-K7 , RERF      ,462.389,979.34,2.11800021194276,70,101,135,1,2,30
 F-N135-K7 , RERF      ,619.481,1103.416,1.78119425777385,76,101,135,1,3,30
 F-N135-K7 , RERF      ,502.303,1181.046,2.35126208682807,64,101,135,1,4,30
 F-N135-K7 , RERF      ,388.647,799.878,2.05810928683355,72,101,135,1,5,30
 F-N135-K7 , RERF      ,477.885,945.416,1.97833369953022,67,101,135,1,6,30
 F-N135-K7 , RERF      ,593.431,1174.943,1.97991510386212,69,101,135,1,7,30
 F-N135-K7 , RERF      ,494.2,1014.906,2.05363415621206,64,101,135,1,8,30
 F-N135-K7 , RERF      ,445.811,891.893,2.00060788091815,76,101,135,1,9,30
 F-N135-K7 , RERF      ,468.247,928.576,1.98309012123943,77,101,135,1,10,30
 F-N135-K7 , RERF      ,465.17,920.6,1.97906141840617,78,101,135,1,11,30
 F-N135-K7 , RERF      ,484.149,968.875,2.0011917818688,63,101,135,1,12,30
 F-N135-K7 , RERF      ,767.444,1660.474,2.16364190742256,62,101,135,1,13,30
 F-N135-K7 , RERF      ,546.799,1088.756,1.99114482652675,59,101,135,1,14,30
 F-N135-K7 , RERF      ,518.345,1350.576,2.60555421582151,67,101,135,1,15,30
 F-N135-K7 , RERF      ,660.211,1322.693,2.00343980939427,70,101,135,1,16,30
 F-N135-K7 , RERF      ,602.393,1207.678,2.00480085259955,75,101,135,1,17,30
 F-N135-K7 , RERF      ,415.928,884.429,2.12639928064473,72,101,135,1,18,30
 F-N135-K7 , RERF      ,462.202,945.039,2.04464498206412,78,101,135,1,19,30
 F-N135-K7 , RERF      ,506.287,1062.701,2.09900906007857,57,101,135,1,20,30
 F-N135-K7 , RERF      ,327.605,727.717,2.22132446085988,73,101,135,1,21,30
 F-N135-K7 , RERF      ,517.53,1092.828,2.11162251463683,65,101,135,1,22,30
 F-N135-K7 , RERF      ,652.965,1307.128,2.00183470783273,70,101,135,1,23,30
 F-N135-K7 , RERF      ,472.605,993.344,2.10184826652278,71,101,135,1,24,30
 F-N135-K7 , RERF      ,701.656,1379.572,1.96616575643905,65,101,135,1,25,30
 F-N135-K7 , RERF      ,395.605,848.418,2.14460889018086,69,101,135,1,26,30
 F-N135-K7 , RERF      ,489.948,1044.176,2.13119759647963,62,101,135,1,27,30
 F-N135-K7 , RERF      ,429.725,862.591,2.00730932573157,76,101,135,1,28,30
 F-N135-K7 , RERF      ,461.26,890.967,1.93159389498331,77,101,135,1,29,30
 F-N135-K7 , RERF      ,765.924,996.13,1.30055984666886,76,101,135,1,30,30
 F-N135-K7 , REREG     ,786.119,968.019,1.23138990407305,74,92,135,1,1,30
 F-N135-K7 , REREG     ,1116.721,1111.396,0.99523157529947,70,97,135,1,2,30
 F-N135-K7 , REREG     ,1019.282,1033.731,1.01417566483073,76,100,135,1,3,30
 F-N135-K7 , REREG     ,1800.717,2505.422,1.39134689126609,64,101,135,1,4,30
 F-N135-K7 , REREG     ,1833.884,2192.528,1.19556525930757,72,101,135,1,5,30
 F-N135-K7 , REREG     ,1253.286,1441.627,1.15027774985119,67,101,135,1,6,30
 F-N135-K7 , REREG     ,804.327,958.787,1.19203632353508,69,101,135,1,7,30
 F-N135-K7 , REREG     ,949.166,1245.49,1.31219407353403,64,101,135,1,8,30
 F-N135-K7 , REREG     ,1089.629,1343.687,1.23316009394023,76,92,135,1,9,30
 F-N135-K7 , REREG     ,621.916,570.866,0.917914959576534,77,92,135,1,10,30
 F-N135-K7 , REREG     ,907.021,1021.07,1.1257401978565,78,88,135,1,11,30
 F-N135-K7 , REREG     ,2059.691,2356.244,1.14397936389488,63,97,135,1,12,30
 F-N135-K7 , REREG     ,1416.629,1687.37,1.19111637556481,62,101,135,1,13,30
 F-N135-K7 , REREG     ,2293.235,2510.499,1.09474127160976,59,101,135,1,14,30
 F-N135-K7 , REREG     ,1244.355,2044.48,1.64300380518421,67,101,135,1,15,30
 F-N135-K7 , REREG     ,1626.859,1670.094,1.0265757511868,70,95,135,1,16,30
 F-N135-K7 , REREG     ,1472.275,1840.137,1.24985957107198,75,96,135,1,17,30
 F-N135-K7 , REREG     ,611.536,736.368,1.20412862039193,72,101,135,1,18,30
 F-N135-K7 , REREG     ,360.08,443.899,1.23277882692735,78,101,135,1,19,30
 F-N135-K7 , REREG     ,1690.306,1971.763,1.16651245395804,57,101,135,1,20,30
 F-N135-K7 , REREG     ,1000.014,1131.59,1.13157415796179,73,100,135,1,21,30
 F-N135-K7 , REREG     ,980.718,1165.737,1.18865667806648,65,101,135,1,22,30
 F-N135-K7 , REREG     ,1027.493,855.011,0.832133162950989,70,101,135,1,23,30
 F-N135-K7 , REREG     ,1498.967,1770.654,1.18124948714682,71,101,135,1,24,30
 F-N135-K7 , REREG     ,1620.697,1803.093,1.11254170273654,65,101,135,1,25,30
 F-N135-K7 , REREG     ,886.323,1070.616,1.20792984047576,69,100,135,1,26,30
 F-N135-K7 , REREG     ,2507.304,2764.391,1.10253523306308,62,100,135,1,27,30
 F-N135-K7 , REREG     ,602.161,698.856,1.16057997778003,76,98,135,1,28,30
 F-N135-K7 , REREG     ,400.354,479.548,1.19780993820469,77,93,135,1,29,30
 F-N135-K7 , REREG     ,458.518,564.462,1.23105745030729,76,91,135,1,30,30
